"year","Time","Distance","race"
1960,28.3133333333333,10,"10000m"
1962,28.3033333333333,10,"10000m"
1963,28.26,10,"10000m"
1965,28.2333333333333,10,"10000m"
1965,27.6566666666667,10,"10000m"
1972,27.6391666666667,10,"10000m"
1973,27.5133333333333,10,"10000m"
1977,27.5083333333333,10,"10000m"
1978,27.3733333333333,10,"10000m"
1984,27.2301666666667,10,"10000m"
1989,27.1371666666667,10,"10000m"
1993,27.1318333333333,10,"10000m"
1993,26.973,10,"10000m"
1994,26.8705,10,"10000m"
1995,26.7255,10,"10000m"
1996,26.6346666666667,10,"10000m"
1997,26.522,10,"10000m"
1997,26.4641666666667,10,"10000m"
1998,26.3791666666667,10,"10000m"
2004,26.3385,10,"10000m"
2005,26.2921666666667,10,"10000m"
1925,149.03,42.195,"Marathon"
1935,147.816666666667,42.195,"Marathon"
1935,146.733333333333,42.195,"Marathon"
1935,146.7,42.195,"Marathon"
1947,145.65,42.195,"Marathon"
1952,140.703333333333,42.195,"Marathon"
1953,138.67,42.195,"Marathon"
1953,138.58,42.195,"Marathon"
1954,137.656666666667,42.195,"Marathon"
1958,135.283333333333,42.195,"Marathon"
1960,135.27,42.195,"Marathon"
1963,135.263333333333,42.195,"Marathon"
1963,134.466666666667,42.195,"Marathon"
1964,133.923333333333,42.195,"Marathon"
1964,132.183333333333,42.195,"Marathon"
1965,132,42.195,"Marathon"
1967,129.6,42.195,"Marathon"
1969,128.55,42.195,"Marathon"
1981,128.3,42.195,"Marathon"
1984,128.083333333333,42.195,"Marathon"
1985,127.2,42.195,"Marathon"
1988,126.833333333333,42.195,"Marathon"
1998,126.083333333333,42.195,"Marathon"
1999,125.7,42.195,"Marathon"
2002,125.633333333333,42.195,"Marathon"
2003,124.916666666667,42.195,"Marathon"
2007,124.433333333333,42.195,"Marathon"
