"trt","age","educ","black","hisp","marr","nodeg","re74","re75","re78"
0,29,11,1,0,1,1,783.70672,0,23643.625
0,37,9,0,0,0,1,940.44807,3544.8387,1152.6267
0,20,10,0,0,0,1,1381.2831,3523.3548,9309.6774
0,31,6,1,0,0,1,1410.6721,555,16059.932
0,19,11,1,0,0,1,1567.4134,0,0
0,20,11,0,0,1,1,1567.4134,3222.5806,2955.4531
0,20,8,1,0,0,1,1880.8961,3652.2581,1018.1536
0,30,9,1,0,0,1,1959.2668,162.91935,16809.14
0,29,10,1,0,0,1,2037.6375,2685.4839,0
0,22,11,1,0,0,1,2351.1202,0,879.24731
0,20,8,1,0,0,1,2938.9002,1838.6613,1226.5131
0,40,4,1,0,0,1,2962.4114,1933.5484,1034.4086
0,22,9,1,0,0,1,3134.8269,4345.1129,13299.539
0,24,10,1,0,0,1,3152.4603,3902.9032,7447.7419
0,19,6,1,0,0,1,3526.6802,0,0
0,23,11,0,1,0,1,3526.6802,2685.4839,8127.4962
0,30,6,1,0,1,1,3918.5336,3401.6129,4433.1797
0,35,10,1,0,1,1,3918.5336,3795.4839,7802.3963
0,35,10,1,0,1,1,3918.5336,3795.4839,7802.3963
0,35,10,1,0,1,1,3918.5336,3795.4839,7802.3963
0,40,10,0,0,1,1,3918.5336,4833.871,7248.2488
0,19,11,0,0,0,1,4114.4603,4654.8387,8570.8141
0,19,10,1,0,0,1,4702.2403,3437.4194,2364.3625
0,25,10,1,0,1,1,4702.2403,4282.4516,4947.4286
1,37,11,1,0,1,1,0,0,9930.046
1,22,9,0,1,0,1,0,0,3595.894
1,30,12,1,0,0,0,0,0,24909.45
1,27,11,1,0,0,1,0,0,7506.146
1,33,8,1,0,0,1,0,0,289.7899
1,22,9,1,0,0,1,0,0,4056.494
1,23,12,1,0,0,0,0,0,0
1,32,11,1,0,0,1,0,0,8472.158
1,22,16,1,0,0,0,0,0,2164.022
1,33,12,0,0,1,0,0,0,12418.07
1,19,9,1,0,0,1,0,0,8173.908
1,21,13,1,0,0,0,0,0,17094.64
1,18,8,1,0,0,1,0,0,0
1,27,10,1,0,1,1,0,0,18739.93
1,17,7,1,0,0,1,0,0,3023.879
1,19,10,1,0,0,1,0,0,3228.503
1,27,13,1,0,0,0,0,0,14581.86
1,23,10,1,0,0,1,0,0,7693.4
1,40,12,1,0,0,0,0,0,10804.32
1,26,12,1,0,0,0,0,0,10747.35
1,23,11,1,0,0,1,0,0,0
1,38,9,0,0,0,1,0,0,6408.95
1,24,11,1,0,0,1,0,0,1991.4
1,18,10,1,0,0,1,0,0,11163.17
1,29,11,1,0,1,1,0,0,9642.999
1,25,11,1,0,0,1,0,0,9897.049
1,27,10,0,1,0,1,0,0,11142.87
1,17,10,1,0,0,1,0,0,16218.04
1,24,11,1,0,0,1,0,0,995.7002
1,17,10,1,0,0,1,0,0,0
1,25,11,1,0,1,1,0,0,1574.424
1,20,12,1,0,0,0,0,0,0
1,25,12,1,0,0,0,0,0,3191.753
1,25,5,1,0,0,1,0,0,6181.88
1,23,12,1,0,1,0,0,0,5911.551
1,24,10,1,0,0,1,0,0,0
1,21,12,1,0,0,0,0,0,1254.582
1,19,9,0,0,0,1,0,0,13188.83
1,17,8,1,0,0,1,0,0,8061.485
1,18,8,0,1,1,1,0,0,2787.96
1,20,11,1,0,0,1,0,0,3972.54
1,25,11,1,0,1,1,0,0,0
1,17,8,1,0,0,1,0,0,0
1,17,9,1,0,0,1,0,0,0
1,25,5,1,0,0,1,0,0,12187.41
1,23,12,1,0,0,0,0,0,4843.176
1,28,8,1,0,0,1,0,0,0
1,31,11,1,0,1,1,0,0,8087.487
1,18,11,1,0,0,1,0,0,0
1,25,12,1,0,0,0,0,0,2348.973
1,30,11,1,0,1,1,0,0,590.7818
1,17,10,1,0,0,1,0,0,0
1,37,9,1,0,0,1,0,0,1067.506
1,22,11,0,0,0,1,0,0,1048.432
1,17,8,1,0,0,1,0,0,0
1,29,8,1,0,0,1,0,0,1923.938
1,35,10,1,0,0,1,0,0,4666.236
1,27,11,1,0,0,1,0,0,549.2984
1,29,4,1,0,0,1,0,0,762.9146
1,28,9,1,0,0,1,0,0,10694.29
1,27,11,1,0,0,1,0,0,0
1,23,7,0,0,0,1,0,0,0
1,29,13,1,0,0,0,0,0,7479.656
1,27,9,1,0,0,1,0,0,0
1,18,6,1,0,0,1,0,0,0
1,25,12,1,0,0,0,0,0,11965.81
1,28,15,1,0,0,0,0,0,9598.541
1,25,11,0,0,0,1,0,0,18783.35
1,22,12,1,0,0,0,0,0,18678.08
1,21,9,1,0,0,1,0,0,0
1,40,11,1,0,0,1,0,0,23005.6
1,22,11,1,0,0,1,0,0,6456.697
1,25,12,1,0,0,0,0,0,0
1,18,12,1,0,0,0,0,0,2321.107
1,38,12,0,0,0,0,0,0,4941.849
1,27,13,1,0,0,0,0,0,0
1,27,8,1,0,0,1,0,0,0
1,38,11,1,0,0,1,0,0,0
1,23,8,0,1,0,1,0,0,3881.284
1,26,11,1,0,0,1,0,0,17230.96
1,21,12,0,0,0,0,0,0,8048.603
1,25,8,1,0,0,1,0,0,0
1,31,11,1,0,1,1,0,0,14509.93
1,17,10,1,0,0,1,0,0,0
1,25,11,1,0,0,1,0,0,0
1,21,12,1,0,0,0,0,0,9983.784
1,25,12,0,0,0,0,0,0,5587.503
1,18,9,1,0,0,1,0,0,4482.845
1,25,10,1,0,0,1,0,0,0
1,31,9,0,1,0,1,0,0,26817.6
1,24,10,1,0,0,1,0,0,0
1,26,10,1,0,0,1,0,0,9265.788
1,25,11,1,0,0,1,0,0,485.2298
1,18,11,1,0,0,1,0,0,4814.627
1,19,11,1,0,0,1,0,0,7458.105
1,17,9,1,0,0,1,0,0,1953.268
1,30,11,1,0,0,1,0,0,0
1,26,10,1,0,1,1,2027.999,0,0
1,17,9,0,1,0,1,445.1704,74.34345,6210.67
1,20,12,1,0,0,0,989.2678,165.2077,0
1,18,11,1,0,0,1,858.2543,214.5636,929.8839
1,27,12,1,0,1,0,3670.872,334.0493,0
1,21,12,0,0,0,0,3670.872,334.0494,12558.02
1,27,12,1,0,0,0,2143.413,357.9499,22163.25
1,20,12,1,0,0,0,0,377.5686,1652.637
1,19,10,1,0,0,1,0,385.2741,8124.715
1,29,14,1,0,0,0,0,679.6734,17814.98
1,18,10,1,0,0,1,0,798.9079,9737.154
1,19,9,1,0,0,1,0,798.9079,17685.18
1,18,11,0,0,0,1,3678.231,919.5579,4321.705
1,27,9,1,0,1,1,0,934.4454,1773.423
1,23,10,1,0,1,1,0,936.4386,11233.26
1,20,11,1,0,0,1,3637.498,1220.836,1085.44
1,17,9,1,0,0,1,1716.509,1253.439,5445.2
1,26,11,1,0,1,1,0,1392.853,1460.36
1,24,11,1,0,1,1,824.3886,1666.113,4032.708
1,31,9,1,0,0,1,0,1698.607,10363.27
1,23,8,0,0,1,1,0,1713.15,4232.309
1,18,10,1,0,0,1,2143.411,1784.274,11141.39
1,26,11,0,0,0,1,0,2226.266,13385.86
1,24,10,1,0,0,1,4250.402,2421.947,1660.508
1,31,12,0,0,0,0,0,2611.218,2484.549
1,19,11,1,0,0,1,2305.026,2615.276,4146.603
1,19,8,1,0,0,1,0,2657.057,9970.681
1,27,11,1,0,0,1,2206.94,2666.274,0
1,26,11,1,0,1,1,0,2754.646,26372.28
1,28,10,1,0,0,1,0,2836.506,3196.571
1,19,8,1,0,0,1,2636.353,2937.264,7535.942
1,18,9,1,0,0,1,0,3287.375,5010.342
1,27,10,1,0,0,1,1001.146,3550.075,0
1,21,8,1,0,0,1,989.2678,3695.897,4279.613
1,22,9,1,0,0,1,2192.877,3836.986,3462.564
1,29,10,1,0,0,1,0,4398.95,0
