"ppvtr.36","first","b.marr","income","momage","momed","momrace"
116,0,1,32050,26,NA,3
NA,0,1,9000,21,1,2
NA,0,1,72800,24,3,3
106,0,1,21300,23,3,3
NA,0,1,34000,26,2,3
NA,0,1,19000,24,2,3
NA,0,1,13418,27,2,NA
89,1,1,14500,19,1,3
83,0,1,NA,18,1,3
83,1,1,38047,23,NA,2
78,0,0,1000,21,1,2
106,1,1,NA,22,4,NA
98,1,1,29674,21,3,3
70,0,1,NA,24,1,2
104,0,1,47776,27,3,1
90,0,1,NA,29,3,NA
NA,0,1,NA,29,2,3
72,1,0,NA,22,2,NA
81,0,1,43020,26,2,3
80,0,1,9400,24,1,3
88,1,0,3420,21,2,1
86,1,1,28506,23,1,3
79,0,1,12056,18,1,2
NA,0,1,24700,27,2,3
104,0,1,12000,20,1,2
66,1,1,NA,22,NA,NA
88,1,1,40200,26,3,3
46,0,1,13000,28,3,2
72,0,0,2532,23,NA,1
86,0,1,17501,23,2,3
72,0,1,20180,21,2,3
87,1,0,16000,21,3,1
82,1,1,NA,22,2,2
92,1,1,25000,25,2,3
122,0,1,39350,27,3,3
122,1,1,42043,22,3,3
91,1,0,NA,25,2,NA
52,1,0,410,19,2,1
99,1,1,NA,17,1,NA
102,1,1,32328,23,2,3
NA,1,1,21600,22,2,2
91,0,0,26464,19,2,NA
86,0,0,4716,28,1,NA
75,0,1,10400,23,1,3
99,0,1,33054,26,2,3
105,0,1,NA,20,1,NA
NA,1,0,74000,28,3,NA
70,0,0,NA,23,3,NA
84,0,1,14588,23,3,NA
83,0,1,17000,26,1,NA
108,1,0,7800,26,3,3
87,1,1,49000,32,3,3
NA,1,1,26800,30,NA,1
91,1,1,15418,21,3,3
104,0,1,3634,19,1,3
94,0,0,7022,23,1,3
NA,1,NA,NA,25,NA,NA
NA,0,0,5952,23,1,3
89,0,1,40568,25,2,3
NA,0,1,NA,26,2,1
73,0,0,5172,21,1,NA
95,0,0,16000,25,1,3
NA,1,0,12000,22,2,NA
NA,1,0,15000,20,2,1
90,1,0,4024,22,NA,1
62,0,1,5625,24,2,NA
63,0,1,53000,28,1,2
131,1,0,12000,24,4,NA
NA,0,1,7879,24,1,2
106,1,1,20480,23,3,3
114,0,1,1057448,29,4,3
62,0,1,12000,25,3,NA
91,0,0,27000,25,3,NA
100,1,1,24000,18,2,2
82,0,0,5768,20,1,NA
79,0,1,14709,23,2,2
88,1,1,9556,18,1,3
NA,1,1,23353,19,2,3
72,0,0,6786,20,1,2
91,1,1,34020,25,2,NA
76,0,1,23700,20,2,2
87,1,0,NA,25,3,NA
82,0,0,5205,24,NA,1
65,0,1,23000,26,3,NA
NA,0,0,11000,24,NA,2
NA,1,1,8000,29,2,2
102,0,1,20100,27,NA,3
57,0,1,6000,22,NA,2
105,0,1,47000,31,NA,3
67,0,0,4440,23,1,1
90,1,1,23000,22,2,3
NA,0,0,3542,27,1,NA
97,0,1,19000,26,NA,3
69,1,1,12766,20,2,3
83,0,0,4728,27,2,NA
58,1,1,NA,27,1,2
110,1,1,37150,26,3,NA
109,1,1,30000,22,3,2
88,0,1,16100,26,1,NA
94,0,1,100001,28,4,3
70,1,1,7500,23,2,2
98,1,1,11005,24,2,NA
113,1,1,34100,30,2,3
106,1,1,31540,23,3,3
117,1,1,37386,27,3,3
80,1,0,35000,20,1,1
78,0,1,25102,21,1,2
77,0,1,9000,24,2,2
NA,0,1,38050,28,2,2
127,0,1,15532,21,2,3
96,1,1,5000,17,1,NA
NA,0,0,15000,25,1,3
41,1,0,25000,16,1,1
88,0,0,NA,24,2,1
88,0,1,31304,29,3,1
NA,0,0,17500,22,2,NA
84,0,NA,NA,21,2,1
97,0,0,11400,24,3,NA
102,0,1,27500,24,1,3
NA,0,1,11220,21,1,NA
59,1,0,NA,18,2,1
77,1,0,NA,20,2,1
89,1,NA,NA,27,4,NA
55,0,0,4692,25,NA,NA
NA,0,0,6816,27,1,NA
59,0,0,6000,22,2,1
72,0,0,12000,28,3,NA
108,0,1,46020,28,2,3
74,0,1,16800,28,3,1
95,0,0,5220,24,2,NA
112,1,1,100001,26,4,3
90,1,0,NA,20,1,2
92,0,1,NA,26,2,2
98,1,1,18585,23,2,3
78,0,1,NA,26,2,3
104,0,1,8262,22,1,NA
70,0,1,15796,20,2,2
101,1,1,18000,27,2,3
100,0,1,10832,23,2,3
NA,1,1,100001,23,NA,NA
110,1,1,44600,24,3,3
58,1,1,13000,23,3,NA
52,1,1,1446,18,2,2
54,1,0,6970,21,1,NA
88,0,1,14072,24,2,3
84,0,0,NA,26,4,NA
101,0,0,5040,28,1,1
122,1,1,18352,18,1,3
90,1,1,NA,20,2,1
64,1,1,35000,23,2,2
NA,1,1,29550,27,3,3
58,0,1,21865,26,1,2
69,1,1,NA,19,2,3
63,0,1,NA,25,NA,2
63,0,1,27081,25,1,3
108,1,1,34150,25,1,3
102,1,1,26800,22,2,NA
NA,1,NA,NA,24,2,3
94,0,1,NA,27,2,3
103,0,1,53200,25,3,NA
82,0,1,8002,21,1,3
75,0,0,5328,27,1,1
91,0,1,NA,25,2,NA
NA,0,1,30000,29,4,3
97,1,0,3650,19,2,3
81,0,1,15000,21,2,NA
88,0,1,18150,23,NA,3
64,0,1,16745,24,1,2
87,0,1,14000,26,1,3
65,0,1,7712,22,NA,NA
81,0,1,34000,30,4,NA
NA,0,1,44000,28,NA,3
NA,1,1,24043,22,2,NA
85,1,0,37960,19,1,3
109,0,1,15300,21,1,NA
80,1,0,2520,19,1,NA
105,1,1,69000,30,4,3
NA,0,1,26088,24,NA,3
93,1,1,NA,23,3,3
52,0,1,36000,25,2,1
77,0,1,41000,29,2,3
52,1,1,28400,25,3,2
66,1,0,5870,19,1,3
NA,0,1,30000,24,1,3
75,0,1,39815,23,3,3
64,1,1,14725,18,1,2
86,1,0,4992,18,1,1
90,1,0,0,21,1,3
82,1,0,3890,18,2,2
79,0,1,46583,26,3,3
104,1,NA,NA,24,4,1
108,1,1,38300,26,3,3
109,0,1,NA,24,NA,NA
109,0,1,33100,24,3,1
99,0,1,36000,30,4,3
NA,0,0,11680,24,3,NA
52,0,1,8562,23,1,2
58,0,1,17812,29,1,NA
65,1,0,4200,17,1,3
66,0,1,60000,20,2,NA
NA,1,1,39143,29,NA,3
86,1,0,6000,19,2,3
NA,0,0,3012,22,1,NA
107,1,1,21002,21,1,3
NA,1,1,21000,19,2,2
79,1,0,12600,21,3,1
87,1,0,NA,16,1,3
52,0,1,10800,26,2,2
87,1,1,37341,21,2,NA
100,0,NA,NA,26,1,NA
84,1,1,12415,25,2,NA
NA,0,1,NA,23,2,3
114,1,1,NA,27,2,3
121,1,1,51000,28,3,3
70,1,1,NA,17,1,3
94,1,0,24000,21,NA,NA
NA,1,1,24000,25,3,NA
114,1,1,41030,25,2,3
74,0,0,2370,22,2,NA
64,1,1,NA,26,1,2
54,0,0,8292,26,1,2
104,0,1,18392,20,1,NA
86,0,0,6852,21,NA,NA
NA,0,0,6636,25,1,2
110,1,1,21000,25,NA,NA
72,0,1,11596,25,1,1
73,0,1,NA,26,1,2
99,0,0,5268,25,NA,NA
122,1,1,1057448,32,NA,3
129,1,1,44080,25,2,3
78,0,0,13500,27,2,NA
106,0,1,18078,24,2,3
NA,1,1,NA,28,2,2
NA,0,1,NA,22,NA,NA
NA,0,0,3564,23,2,2
76,0,1,33160,27,2,NA
62,1,1,71300,22,1,NA
44,1,1,11672,21,1,2
79,1,0,3000,31,3,1
76,1,0,32000,23,3,1
108,1,1,50000,24,NA,3
98,1,1,NA,24,2,3
98,1,1,72020,30,2,2
82,0,1,6412,20,2,1
98,0,1,16700,24,1,3
79,0,1,30000,22,2,NA
NA,0,1,50000,26,2,3
75,0,1,NA,24,3,NA
95,1,1,3600,23,1,2
46,0,0,4641,23,1,3
54,1,0,NA,19,2,1
94,0,1,24385,26,2,3
NA,0,1,29600,22,2,3
106,1,NA,NA,28,4,2
91,1,0,NA,22,1,3
101,0,0,8675,22,2,NA
NA,0,1,12020,20,1,NA
NA,0,0,10428,26,1,NA
102,1,1,20180,22,2,NA
93,0,1,36350,24,3,2
72,0,0,3400,21,NA,1
83,0,1,5200,23,1,2
NA,0,1,8307,22,1,3
NA,0,1,32856,25,3,2
NA,1,1,14408,20,2,NA
82,0,1,15000,24,NA,2
92,0,0,NA,20,3,NA
74,1,0,12000,19,NA,1
90,0,1,1057448,31,4,3
114,0,1,22510,22,2,NA
53,1,0,10000,22,NA,1
56,0,0,3404,22,2,1
110,1,1,25990,22,2,3
110,1,1,23000,23,3,2
91,1,0,14928,19,2,NA
80,0,NA,NA,26,2,3
67,0,1,10000,20,NA,2
98,0,1,25502,21,3,NA
NA,1,0,1848,20,1,1
81,1,1,26000,27,3,NA
118,1,1,NA,25,4,NA
80,0,0,7328,26,1,NA
94,0,1,21000,26,4,3
46,0,NA,NA,28,1,NA
73,1,1,16630,22,1,3
NA,0,1,18000,27,1,NA
85,1,1,17500,21,2,2
NA,0,1,10000,20,1,3
NA,1,1,36012,28,3,3
76,1,0,NA,20,3,1
NA,1,1,29000,24,2,NA
83,0,1,NA,22,1,NA
109,1,1,28010,22,2,3
109,1,1,14700,23,3,3
84,1,0,NA,23,2,NA
105,1,1,25000,19,3,3
56,0,0,7392,27,1,NA
96,1,1,NA,22,2,3
110,1,1,NA,19,1,1
77,1,0,7332,25,1,2
68,1,1,15000,22,3,2
106,1,1,47000,28,NA,2
76,1,1,21836,24,2,NA
95,1,1,NA,27,4,3
95,0,1,53000,27,1,2
97,0,1,NA,23,3,1
NA,0,1,NA,18,1,2
96,0,1,NA,25,3,1
99,0,1,9750,22,1,3
83,0,0,8298,24,1,2
78,0,0,29000,21,2,1
79,0,1,6700,23,1,2
83,1,1,NA,19,3,2
125,1,1,60140,26,3,3
80,0,1,23539,24,3,NA
80,1,0,NA,18,1,NA
80,1,0,30000,22,4,NA
50,0,1,9051,23,1,2
84,0,1,33000,23,2,NA
90,1,0,1415,23,2,3
NA,0,1,NA,23,NA,2
NA,0,1,63906,28,4,NA
100,0,1,39017,28,2,3
92,0,1,52000,28,3,3
99,0,0,4000,22,1,2
102,1,1,42125,30,4,3
