"Student","Gender","PSATM","SATM","ACTM","Rank","Size","GPAadj","PlcmtScore","Recommends","Course","Grade","RecTaken","TooHigh","TooLow","CourseSuccess"
2411,NA,NA,NA,20,0,0,0,-10,"R0",117,"B+",1,0,0,1
2413,NA,59,51,23,104,304,31,24,"R0",117,"A-",1,0,0,1
2417,NA,NA,44,18,90,175,24,7,"R0",117,"B",1,0,0,1
2435,NA,NA,NA,26,0,0,0,-2,"R0",210,"A",1,0,0,1
2466,NA,NA,NA,17,64,235,34,14,"R0",117,"A-",1,0,0,1
2486,NA,NA,59,27,NA,NA,40,33,"R0",117,"B",1,0,0,1
2490,NA,NA,NA,25,66,419,36,27,"R0",117,"",1,0,0,NA
2503,NA,47,NA,24,80,604,33,24,"R0",117,"",1,0,0,NA
2506,NA,NA,NA,27,NA,NA,40,31,"R0",117,"A-",1,0,0,1
2521,NA,53,57,22,136,636,38,24,"R0",117,"B",1,0,0,1
2530,NA,NA,55,19,177,518,30,16,"R0",117,"C+",1,0,0,0
2563,NA,53,NA,25,8,62,37,26,"R0",117,"A-",1,0,0,1
2569,NA,NA,NA,26,1,35,40,32,"R0",117,"",1,0,0,NA
2583,NA,NA,64,29,NA,NA,33,27,"R0",117,"",1,0,0,NA
2597,NA,45,55,20,239,569,31,16,"R0",117,"",1,0,0,NA
2600,NA,NA,NA,22,30,296,34,21,"R0",117,"A-",1,0,0,1
2649,NA,NA,52,NA,186,459,35,23,"R0",210,"",1,0,0,NA
2671,NA,58,63,28,20,506,40,34,"R0",117,"",1,0,0,NA
2686,NA,45,NA,26,210,636,37,29,"R0",109,"B",1,0,0,1
2695,NA,NA,NA,25,22,115,31,21,"R0",117,"B",1,0,0,1
2716,NA,NA,NA,25,15,101,38,29,"R0",210,"",1,0,0,NA
2764,NA,65,NA,27,17,57,33,25,"R0",120,"C-",0,1,0,0
2779,NA,NA,NA,27,NA,NA,37,30,"R0",117,"",1,0,0,NA
2785,NA,NA,NA,20,7,81,38,24,"R0",117,"",1,0,0,NA
2814,NA,51,NA,23,174,408,31,17,"R0",120,"C-",0,1,0,0
2846,NA,NA,59,NA,NA,NA,29,18,"R0",117,"",1,0,0,NA
2847,NA,48,57,NA,29,133,27,18,"R0",210,"",1,0,0,NA
2879,NA,56,NA,27,5,698,39,32,"R0",117,"",1,0,0,NA
2889,NA,45,NA,19,34,113,31,13,"R0",117,"B-",1,0,0,0
2922,NA,NA,NA,19,198,651,27,10,"R0",117,"",1,0,0,NA
2942,NA,NA,NA,20,23,356,39,25,"R0",120,"B",0,1,0,1
2945,NA,NA,NA,20,148,223,27,11,"R0",117,"",1,0,0,NA
2953,NA,NA,50,21,150,600,35,21,"R0",117,"",1,0,0,NA
2986,NA,NA,NA,19,106,434,35,21,"R0",120,"",0,1,0,NA
2998,NA,NA,NA,21,NA,NA,38,21,"R0",117,"B+",1,0,0,1
3000,NA,NA,NA,24,152,470,31,22,"R0",117,"",1,0,0,NA
3019,NA,NA,NA,19,301,631,30,13,"R0",117,"",1,0,0,NA
3028,NA,NA,NA,24,78,259,35,22,"R0",117,"",1,0,0,NA
3029,NA,NA,NA,22,13,68,35,20,"R0",117,"",1,0,0,NA
3063,NA,NA,50,23,84,699,38,27,"R0",117,"",1,0,0,NA
3081,NA,57,52,24,31,135,35,22,"R0",117,"B+",1,0,0,1
3087,NA,57,61,NA,52,773,39,30,"R0",210,"",1,0,0,NA
3101,NA,NA,NA,26,122,289,33,26,"R0",210,"",1,0,0,NA
3110,NA,54,59,26,37,281,30,17,"R0",117,"B",1,0,0,1
3133,NA,57,62,NA,128,480,36,29,"R0",117,"",1,0,0,NA
3141,NA,NA,56,31,40,436,31,27,"R0",117,"A-",1,0,0,1
3142,NA,61,59,24,41,239,35,24,"R0",117,"",1,0,0,NA
3193,NA,NA,NA,23,92,289,31,17,"R0",117,"A-",1,0,0,1
3199,NA,43,NA,23,25,144,37,24,"R0",117,"",1,0,0,NA
3205,NA,NA,NA,23,194,617,30,18,"R0",117,"",1,0,0,NA
3233,NA,56,57,24,41,291,35,22,"R0",117,"",1,0,0,NA
3247,NA,NA,NA,25,19,63,31,19,"R0",117,"C+",1,0,0,0
3304,NA,NA,NA,18,240,460,35,17,"R0",210,"",1,0,0,NA
3315,NA,NA,NA,23,82,274,34,25,"R0",117,"",1,0,0,NA
3318,NA,NA,NA,16,143,232,25,11,"R0",117,"",1,0,0,NA
3335,NA,59,NA,26,43,427,37,29,"R0",117,"",1,0,0,NA
3355,NA,NA,NA,14,130,240,28,14,"R0",117,"",1,0,0,NA
3428,NA,NA,NA,21,112,475,35,21,"R0",117,"",1,0,0,NA
3466,NA,52,NA,27,34,369,38,32,"R0",117,"",1,0,0,NA
3773,NA,NA,NA,24,65,238,29,23,"R0",119,"",0,0,0,NA
3776,NA,NA,55,22,NA,802,28,21,"R0",210,"",1,0,0,NA
3783,NA,NA,59,26,NA,802,31,27,"R0",119,"",0,0,0,NA
3816,NA,64,60,26,41,620,39,32,"R0",117,"",1,0,0,NA
3980,NA,NA,NA,26,29,390,39,34,"R0",117,"",1,0,0,NA
4034,NA,NA,NA,30,3,57,37,36,"R0",117,"",1,0,0,NA
4040,NA,NA,50,28,55,418,37,32,"R0",120,"",0,1,0,NA
524,0,48,52,26,NA,NA,25,21,"R01",120,"B-",0,1,0,0
525,0,56,65,24,139,484,33,21,"R01",117,"A",0,0,0,1
526,0,NA,56,NA,NA,NA,33,21,"R01",109,"B+",0,0,0,1
527,1,NA,NA,22,148,487,34,21,"R01",120,"B-",0,1,0,0
529,1,NA,NA,21,75,224,31,21,"R01",117,"C",0,0,0,0
530,1,NA,NA,26,27,163,31,21,"R01",120,"B",0,1,0,1
531,1,NA,NA,23,54,323,33,21,"R01",117,"B+",0,0,0,1
533,1,51,57,24,254,623,32,21,"R01",120,"D+",0,1,0,0
534,1,NA,NA,25,27,116,34,21,"R01",120,"D",0,1,0,0
535,1,NA,64,26,141,311,27,21,"R01",120,"C+",0,1,0,0
537,0,52,NA,20,11,40,36,20,"R01",109,"D",0,0,0,0
538,0,47,NA,22,84,279,34,20,"R01",117,"A",0,0,0,1
539,1,55,NA,23,14,87,34,20,"R01",117,"C",0,0,0,0
540,0,NA,NA,19,9,60,38,20,"R01",120,"C",0,1,0,0
541,0,NA,59,NA,12,96,29,20,"R01",120,"C",0,1,0,0
542,0,NA,NA,26,82,225,33,20,"R01",120,"C+",0,1,0,0
543,1,64,NA,22,50,403,32,20,"R01",120,"C+",0,1,0,0
545,1,47,NA,23,38,272,34,20,"R01",120,"B",0,1,0,1
547,0,NA,NA,26,22,267,31,20,"R01",117,"C",0,0,0,0
548,1,58,71,21,NA,NA,31,20,"R01",120,"A-",0,1,0,1
550,1,NA,NA,24,170,413,30,20,"R01",120,"C+",0,1,0,0
551,0,NA,57,27,85,365,29,19,"R01",120,"C-",0,1,0,0
552,1,NA,NA,25,42,104,30,19,"R01",120,"C-",0,1,0,0
553,1,65,73,29,252,432,23,19,"R01",120,"C",0,1,0,0
554,1,NA,NA,21,118,589,35,19,"R01",109,"B+",0,0,0,1
555,0,48,51,20,53,172,34,19,"R01",117,"B+",0,0,0,1
557,1,55,NA,22,83,170,28,19,"R01",120,"C-",0,1,0,0
558,0,NA,52,24,97,319,30,19,"R01",120,"C",0,1,0,0
560,0,NA,55,NA,63,480,31,19,"R01",120,"C+",0,1,0,0
561,1,50,NA,20,103,202,29,18,"R01",120,"B+",0,1,0,1
562,0,41,NA,18,42,598,38,18,"R01",117,"B",0,0,0,1
563,0,NA,49,NA,48,245,32,18,"R01",117,"B",0,0,0,1
564,1,NA,NA,25,27,128,28,18,"R01",120,"D",0,1,0,0
565,1,46,NA,20,62,324,32,18,"R01",120,"B-",0,1,0,0
566,1,NA,58,24,263,476,27,18,"R01",120,"B-",0,1,0,0
567,1,NA,NA,22,145,628,34,18,"R01",120,"C",0,1,0,0
569,1,NA,NA,22,47,147,31,16,"R01",120,"B-",0,1,0,0
571,0,50,NA,22,105,358,30,16,"R01",117,"C+",0,0,0,0
572,0,NA,55,NA,143,527,31,16,"R01",120,"B+",0,1,0,1
574,0,NA,64,26,57,364,26,15,"R01",117,"A",0,0,0,1
575,1,NA,NA,21,198,628,32,15,"R01",117,"C",0,0,0,0
577,1,NA,58,NA,NA,NA,26,15,"R01",117,"B-",0,0,0,0
579,0,NA,49,NA,NA,NA,27,15,"R01",117,"D",0,0,0,0
580,1,NA,NA,25,123,178,26,15,"R01",120,"C",0,1,0,0
581,1,NA,NA,24,73,177,31,15,"R01",109,"D+",0,0,0,0
582,1,56,NA,24,92,373,27,14,"R01",120,"D",0,1,0,0
583,0,NA,NA,16,19,251,37,14,"R01",210,"B-",0,0,0,0
584,1,NA,NA,25,131,322,25,14,"R01",120,"B-",0,1,0,0
585,1,NA,NA,24,155,580,32,14,"R01",109,"C+",0,0,0,0
591,1,NA,42,17,67,240,32,13,"R01",117,"C+",0,0,0,0
596,1,NA,35,17,NA,NA,34,12,"R01",109,"C+",0,0,0,0
597,1,NA,54,23,109,278,29,12,"R01",109,"B-",0,0,0,0
600,1,44,43,21,NA,NA,27,11,"R01",120,"F",0,1,0,0
601,0,NA,55,NA,314,533,30,10,"R01",117,"C+",0,0,0,0
602,1,NA,59,21,NA,NA,24,10,"R01",120,"B",0,1,0,1
603,1,NA,NA,21,45,109,26,10,"R01",117,"B",0,0,0,1
606,1,49,51,21,87,275,25,10,"R01",120,"D",0,1,0,0
609,1,NA,NA,19,74,179,27,8,"R01",117,"C+",0,0,0,0
611,0,43,44,17,213,473,31,8,"R01",109,"C+",0,0,0,0
612,1,NA,46,18,381,477,23,8,"R01",120,"F",0,1,0,0
617,1,NA,56,NA,NA,NA,20,5,"R01",109,"",0,0,0,NA
617,1,NA,56,NA,NA,NA,20,5,"R01",109,"D+",0,0,0,0
618,1,44,45,18,130,253,28,5,"R01",117,"D",0,0,0,0
619,0,28,42,NA,41,513,30,5,"R01",117,"A-",0,0,0,1
621,0,57,36,13,81,231,28,-1,"R01",117,"C-",0,0,0,0
622,1,NA,52,NA,68,141,20,-1,"R01",120,"B+",0,1,0,1
798,1,NA,NA,NA,NA,NA,NA,NA,"R01",120,"B-",0,1,0,0
815,NA,NA,NA,22,168,450,27,20,"R01",109,"C+",0,0,0,0
817,NA,NA,NA,27,178,328,27,21,"R01",109,"A-",0,0,0,1
818,NA,47,NA,22,35,70,24,13,"R01",109,"F",0,0,0,0
820,NA,44,53,NA,72,556,28,19,"R01",109,"B",0,0,0,1
844,NA,NA,64,25,176,312,25,14,"R01",120,"B-",0,1,0,0
846,NA,NA,NA,25,40,114,29,21,"R01",117,"C+",0,0,0,0
853,NA,NA,NA,23,124,376,32,20,"R01",117,"D",0,0,0,0
857,NA,64,NA,22,48,274,33,20,"R01",120,"B-",0,1,0,0
859,NA,51,59,25,168,438,29,20,"R01",120,"B",0,1,0,1
866,NA,NA,NA,21,129,252,24,12,"R01",120,"C+",0,1,0,0
885,NA,NA,NA,21,202,452,27,14,"R01",120,"B",0,1,0,1
894,NA,55,51,23,72,251,29,17,"R01",120,"D-",0,1,0,0
898,NA,NA,NA,20,22,79,31,18,"R01",120,"F",0,1,0,0
902,NA,NA,49,22,59,156,28,17,"R01",120,"D+",0,1,0,0
905,NA,47,NA,24,63,259,30,20,"R01",120,"B+",0,1,0,1
917,NA,NA,56,NA,4,27,29,18,"R01",120,"A",0,1,0,1
918,NA,NA,51,NA,NA,NA,26,18,"R01",120,"C-",0,1,0,0
932,NA,NA,44,19,218,477,29,15,"R01",120,"D",0,1,0,0
938,NA,58,54,23,312,626,30,18,"R01",120,"B-",0,1,0,0
939,NA,NA,NA,15,134,259,24,10,"R01",120,"D",0,1,0,0
951,NA,55,54,25,118,185,26,16,"R01",120,"C",0,1,0,0
966,NA,48,NA,21,33,121,29,17,"R01",120,"C-",0,1,0,0
970,NA,47,44,21,38,121,30,16,"R01",120,"C",0,1,0,0
985,NA,NA,NA,26,84,450,30,20,"R01",120,"A-",0,1,0,1
987,NA,47,44,20,NA,NA,29,17,"R01",120,"D",0,1,0,0
990,NA,NA,NA,26,144,280,27,17,"R01",120,"C+",0,1,0,0
993,NA,NA,NA,24,127,244,28,19,"R01",120,"C",0,1,0,0
1012,NA,46,NA,21,128,409,32,18,"R01",117,"A-",0,0,0,1
1016,NA,54,46,23,52,201,29,17,"R01",117,"A-",0,0,0,1
1024,NA,NA,NA,23,69,182,31,19,"R01",120,"C",0,1,0,0
1061,NA,NA,NA,22,168,471,32,21,"R01",120,"B-",0,1,0,0
1062,NA,NA,60,25,103,450,30,19,"R01",120,"B-",0,1,0,0
1075,NA,NA,56,NA,117,185,27,19,"R01",120,"C",0,1,0,0
1085,NA,NA,63,NA,26,38,26,18,"R01",120,"C+",0,1,0,0
1099,NA,55,51,26,250,508,29,21,"R01",120,"C+",0,1,0,0
1106,NA,NA,NA,20,211,350,22,8,"R01",120,"",0,1,0,NA
1112,NA,NA,58,25,NA,NA,28,21,"R01",120,"B",0,1,0,1
1368,NA,52,NA,19,156,671,33,17,"R01",117,"A-",0,0,0,1
1396,NA,NA,NA,26,233,452,24,17,"R01",117,"I",0,0,0,0
1428,NA,NA,NA,20,NA,NA,35,20,"R01",117,"S",0,0,0,NA
1509,NA,NA,57,27,224,453,27,19,"R01",120,"B",0,1,0,1
1521,NA,59,59,NA,29,383,30,20,"R01",117,"C",0,0,0,0
1522,NA,NA,NA,19,86,384,31,17,"R01",117,"C+",0,0,0,0
1535,NA,NA,NA,25,114,450,29,21,"R01",109,"B",0,0,0,1
1536,NA,59,NA,20,112,130,20,5,"R01",120,"C+",0,1,0,0
1570,NA,51,NA,18,98,280,32,17,"R01",120,"B-",0,1,0,0
1603,NA,NA,NA,19,205,396,30,16,"R01",120,"C",0,1,0,0
1665,NA,NA,NA,28,303,461,28,23,"R01",120,"C-",0,1,0,0
1671,NA,NA,NA,23,88,257,29,14,"R01",120,"D+",0,1,0,0
1674,NA,NA,NA,17,117,265,32,16,"R01",120,"C-",0,1,0,0
1678,NA,NA,NA,23,8,33,31,23,"R01",120,"C-",0,1,0,0
1682,NA,NA,64,27,237,437,27,19,"R01",120,"B+",0,1,0,1
1708,NA,NA,NA,26,105,346,33,23,"R01",117,"B+",0,0,0,1
1795,NA,NA,NA,26,16,33,30,22,"R01",120,"B-",0,1,0,0
1796,NA,NA,NA,22,124,584,33,19,"R01",117,"C-",0,0,0,0
1797,NA,NA,NA,18,17,64,34,18,"R01",117,"D",0,0,0,0
1815,NA,NA,61,27,118,538,29,21,"R01",117,"",0,0,0,NA
1817,NA,NA,51,19,0,91,29,16,"R01",109,"A",0,0,0,1
1847,NA,NA,53,NA,126,378,28,14,"R01",120,"D",0,1,0,0
1853,NA,48,NA,18,24,74,32,16,"R01",117,"A",0,0,0,1
1876,NA,59,NA,19,186,644,36,21,"R01",120,"C",0,1,0,0
1879,NA,NA,NA,22,116,417,33,22,"R01",117,"",0,0,0,NA
1883,NA,73,67,NA,217,411,24,22,"R01",117,"",0,0,0,NA
1885,NA,58,NA,23,5,50,35,22,"R01",117,"C+",0,0,0,0
1888,NA,52,NA,24,0,0,0,-8,"R01",120,"B+",0,1,0,1
1890,NA,44,42,20,243,652,29,14,"R01",120,"B-",0,1,0,0
1897,NA,50,NA,25,241,652,31,23,"R01",120,"D",0,1,0,0
1908,NA,NA,54,25,85,265,27,17,"R01",120,"C",0,1,0,0
1934,NA,NA,52,19,72,322,36,22,"R01",120,"C",0,1,0,0
1983,NA,NA,NA,24,82,348,31,20,"R01",120,"C",0,1,0,0
1999,NA,62,63,24,89,448,32,22,"R01",120,"A",0,1,0,1
2004,NA,NA,62,NA,34,207,32,22,"R01",117,"A",0,0,0,1
2016,NA,NA,NA,18,189,252,20,6,"R01",117,"B",0,0,0,1
2017,NA,NA,55,25,0,0,31,22,"R01",120,"C",0,1,0,0
2035,NA,NA,NA,24,38,228,35,23,"R01",117,"B",0,0,0,1
2046,NA,NA,NA,19,230,492,26,8,"R01",109,"C+",0,0,0,0
2092,NA,56,52,19,36,286,36,22,"R01",117,"B+",0,0,0,1
2103,NA,50,54,23,18,69,33,22,"R01",120,"D+",0,1,0,0
2134,NA,NA,NA,25,176,699,31,22,"R01",120,"B",0,1,0,1
2168,NA,48,NA,17,10,59,37,21,"R01",117,"B",0,0,0,1
2177,NA,44,54,25,182,357,27,19,"R01",120,"D",0,1,0,0
2191,NA,61,61,NA,54,270,25,23,"R01",120,"B+",0,1,0,1
2201,NA,NA,NA,23,161,690,33,23,"R01",120,"C",0,1,0,0
2210,NA,NA,NA,22,0,0,0,-7,"R01",120,"B",0,1,0,1
2217,NA,NA,48,23,149,414,33,19,"R01",117,"C-",0,0,0,0
2219,NA,NA,65,NA,238,631,24,21,"R01",120,"C+",0,1,0,0
2228,NA,56,58,24,340,657,31,23,"R01",120,"B",0,1,0,1
2271,NA,NA,58,22,13,80,36,23,"R01",120,"B+",0,1,0,1
2278,NA,NA,NA,21,83,419,35,22,"R01",120,"C-",0,1,0,0
2282,NA,NA,NA,25,0,0,29,21,"R01",120,"I",0,1,0,0
2284,NA,44,NA,21,4,220,35,23,"R01",120,"C+",0,1,0,0
2318,NA,52,NA,24,107,520,31,18,"R01",120,"B-",0,1,0,0
2325,NA,NA,36,14,85,470,24,3,"R01",210,"",0,0,0,NA
2329,NA,NA,NA,26,230,479,30,21,"R01",109,"C+",0,0,0,0
2332,NA,NA,46,21,39,470,30,16,"R01",109,"B",0,0,0,1
2336,NA,NA,51,19,179,296,28,13,"R01",120,"D",0,1,0,0
2337,NA,49,NA,19,6,36,36,23,"R01",120,"C",0,1,0,0
2348,NA,59,NA,26,0,0,0,0,"R01",120,"A",0,1,0,1
2359,NA,NA,NA,30,0,0,28,18,"R01",120,"C+",0,1,0,0
2360,NA,NA,NA,20,20,98,35,21,"R01",117,"A-",0,0,0,1
2374,NA,NA,NA,15,0,0,0,-18,"R01",120,"",0,1,0,NA
2378,NA,NA,56,23,0,0,34,22,"R01",120,"C-",0,1,0,0
2379,NA,NA,58,NA,266,538,21,12,"R01",109,"C-",0,0,0,0
2380,NA,NA,65,NA,0,0,23,19,"R01",120,"C",0,1,0,0
2382,NA,42,NA,20,18,220,28,17,"R01",109,"C-",0,0,0,0
2384,NA,53,NA,23,96,178,25,16,"R01",120,"F",0,1,0,0
2389,NA,58,60,NA,299,470,26,18,"R01",117,"D",0,0,0,0
2393,NA,NA,NA,31,121,384,27,23,"R01",120,"D+",0,1,0,0
2400,NA,NA,38,17,428,617,27,8,"R01",117,"C-",0,0,0,0
2401,NA,NA,NA,25,189,264,26,16,"R01",120,"B-",0,1,0,0
2403,NA,NA,NA,19,124,261,29,15,"R01",120,"B-",0,1,0,0
2407,NA,NA,NA,24,0,0,0,-8,"R01",120,"B+",0,1,0,1
2408,NA,50,NA,21,34,68,33,22,"R01",120,"C+",0,1,0,0
2409,NA,NA,NA,23,0,0,0,-8,"R01",109,"C-",0,0,0,0
2427,NA,40,38,NA,35,470,30,13,"R01",109,"D",0,0,0,0
2429,NA,NA,NA,22,71,132,27,17,"R01",109,"C+",0,0,0,0
